# interpolation 
# x qspline integ deriv
0.162 0.987583 0.161939 -0.0424567
0.163 0.987536 0.162927 -0.0507497
0.164 0.987481 0.163915 -0.0589293
0.165 0.987418 0.164902 -0.0669955
0.166 0.987347 0.16589 -0.0749483
0.167 0.987268 0.166878 -0.0827876
0.168 0.987182 0.167866 -0.0905136
0.169 0.987087 0.168853 -0.0981261
0.17 0.986986 0.169841 -0.105625
0.171 0.986876 0.170829 -0.113011
0.172 0.98676 0.171816 -0.120283
0.173 0.986636 0.172804 -0.127442
0.174 0.986505 0.173792 -0.134487
0.175 0.986367 0.174779 -0.141419
0.176 0.986222 0.175767 -0.148238
0.177 0.98607 0.176755 -0.154943
0.178 0.985912 0.177742 -0.161535
0.179 0.985747 0.17873 -0.168013
0.18 0.985576 0.179718 -0.174378
0.181 0.985399 0.180706 -0.18063
0.182 0.985215 0.181693 -0.186768
0.183 0.985025 0.182681 -0.192793
0.184 0.984829 0.183669 -0.198704
0.185 0.984628 0.184656 -0.204502
0.186 0.98442 0.185644 -0.210186
0.187 0.984207 0.186632 -0.215757
0.188 0.983989 0.187619 -0.221215
0.189 0.983765 0.188607 -0.226559
0.19 0.983536 0.189595 -0.23179
0.191 0.983301 0.190582 -0.236907
0.192 0.983062 0.19157 -0.241911
0.193 0.982818 0.192558 -0.246801
0.194 0.982568 0.193545 -0.251578
0.195 0.982315 0.194533 -0.256242
0.196 0.982056 0.195521 -0.260792
0.197 0.981793 0.196509 -0.265229
0.198 0.981526 0.197496 -0.269553
0.199 0.981254 0.198484 -0.273763
0.2 0.980978 0.199472 -0.277859
0.201 0.980698 0.200459 -0.281842
0.202 0.980414 0.201447 -0.285712
0.203 0.980127 0.202435 -0.289468
0.204 0.979836 0.203422 -0.293111
0.205 0.979541 0.20441 -0.296641
0.206 0.979242 0.205398 -0.300057
0.207 0.978941 0.206385 -0.30336
0.208 0.978636 0.207373 -0.306549
0.209 0.978328 0.208361 -0.309625
0.21 0.978016 0.209348 -0.312587
0.211 0.977702 0.210336 -0.315436
0.212 0.977386 0.211324 -0.318172
0.213 0.977066 0.212312 -0.320794
0.214 0.976744 0.213299 -0.323302
0.215 0.97642 0.214287 -0.325698
0.216 0.976093 0.215275 -0.32798
0.217 0.975764 0.216262 -0.330148
0.218 0.975432 0.21725 -0.332203
0.219 0.975099 0.218238 -0.334145
0.22 0.974764 0.219225 -0.335973
0.221 0.974427 0.220213 -0.337688
0.222 0.974089 0.221201 -0.339289
