# interpolation 
# x qspline integ deriv
0.152 0.987303 0.149254 0.0706489
0.153 0.987375 0.150218 0.0726776
0.154 0.987449 0.151181 0.0747062
0.155 0.987524 0.152144 0.0767349
0.156 0.987602 0.153108 0.0787636
0.157 0.987682 0.15407 0.0807923
0.158 0.987761 0.155056 0.0772724
0.159 0.987836 0.156044 0.0732724
0.16 0.987908 0.157032 0.0692724
0.161 0.987975 0.15802 0.0652724
0.162 0.988038 0.159008 0.0612724
0.163 0.988098 0.159996 0.0572724
0.164 0.988153 0.160984 0.0532724
0.165 0.988204 0.161972 0.0492724
0.166 0.988251 0.162961 0.0452724
0.167 0.988295 0.163949 0.0412724
0.168 0.988334 0.164938 0.0372724
0.169 0.988369 0.165926 0.0332724
0.17 0.9884 0.166915 0.0292724
0.171 0.988428 0.167904 0.0252724
0.172 0.988451 0.168893 0.0212724
0.173 0.98847 0.169882 0.0172724
0.174 0.988486 0.170871 0.0132724
0.175 0.988497 0.17186 0.00927236
0.176 0.988504 0.172849 0.00527236
0.177 0.988507 0.173838 0.00127236
0.178 0.988507 0.174828 -0.00272764
0.179 0.988502 0.175817 -0.00672764
0.18 0.988493 0.176806 -0.0107276
0.181 0.98848 0.177796 -0.0147276
0.182 0.988464 0.178786 -0.0187276
0.183 0.988443 0.179775 -0.0227276
0.184 0.988418 0.180765 -0.0267276
0.185 0.98839 0.181755 -0.0307276
0.186 0.988357 0.182745 -0.0347276
0.187 0.98832 0.183735 -0.0387276
0.188 0.988279 0.184725 -0.0427276
0.189 0.988235 0.185716 -0.0467276
0.19 0.988186 0.186706 -0.0507276
0.191 0.988133 0.187696 -0.0547276
0.192 0.988076 0.188687 -0.0587276
0.193 0.988016 0.189677 -0.0627276
0.194 0.987951 0.190668 -0.0667276
0.195 0.987882 0.191659 -0.0707276
0.196 0.98781 0.19265 -0.0747276
0.197 0.987733 0.19364 -0.0787276
0.198 0.987652 0.194631 -0.0827276
0.199 0.987567 0.195622 -0.0867276
0.2 0.987479 0.196614 -0.0907276
0.201 0.987386 0.197605 -0.0947276
0.202 0.987289 0.198596 -0.0987276
0.203 0.987188 0.199587 -0.102728
0.204 0.987084 0.200579 -0.106728
0.205 0.986975 0.20157 -0.110728
0.206 0.986862 0.202562 -0.114728
0.207 0.986745 0.203554 -0.118728
0.208 0.986625 0.204545 -0.122728
0.209 0.9865 0.205537 -0.126728
0.21 0.986371 0.206529 -0.130728
0.211 0.986239 0.207521 -0.134728
0.212 0.986102 0.208513 -0.138728
0.213 0.985961 0.209505 -0.142728
0.214 0.985816 0.210498 -0.146728
0.215 0.985668 0.21149 -0.150728
0.216 0.985515 0.212482 -0.154728
0.217 0.985358 0.213475 -0.158728
0.218 0.985197 0.214468 -0.162728
0.219 0.985033 0.21546 -0.166728
0.22 0.984864 0.216453 -0.170728
0.221 0.984691 0.217446 -0.174728
0.222 0.984515 0.218439 -0.178728
0.223 0.984334 0.219432 -0.182728
0.224 0.984149 0.220425 -0.186728
0.225 0.98396 0.221418 -0.190728
0.226 0.983768 0.222411 -0.194728
0.227 0.983571 0.223404 -0.198728
0.228 0.98337 0.224398 -0.202728
0.229 0.983165 0.225391 -0.206728
0.23 0.982957 0.226385 -0.210728
0.231 0.982744 0.227378 -0.214728
0.232 0.982527 0.228372 -0.218728
0.233 0.982307 0.229366 -0.222728
0.234 0.982082 0.23036 -0.226728
0.235 0.981853 0.231354 -0.230728
0.236 0.98162 0.232348 -0.234728
0.237 0.981384 0.233342 -0.238728
0.238 0.981143 0.234336 -0.242728
0.239 0.980898 0.23533 -0.246728
0.24 0.980649 0.236325 -0.250728
0.241 0.980397 0.237319 -0.254728
0.242 0.98014 0.238314 -0.258728
0.243 0.979879 0.239308 -0.262728
0.244 0.979615 0.240303 -0.266728
0.245 0.979346 0.241298 -0.270728
0.246 0.979073 0.242293 -0.274728
0.247 0.978796 0.243288 -0.278728
0.248 0.978516 0.244283 -0.282728
0.249 0.978231 0.245278 -0.286728
0.25 0.977942 0.246273 -0.290728
0.251 0.977649 0.247268 -0.294728
0.252 0.977353 0.248263 -0.298728
0.253 0.977052 0.249259 -0.302728
0.254 0.976747 0.250254 -0.306728
0.255 0.976439 0.25125 -0.310728
0.256 0.976126 0.252246 -0.314728
0.257 0.975809 0.253241 -0.318728
0.258 0.975488 0.254237 -0.322728
0.259 0.975164 0.255233 -0.326728
0.26 0.974835 0.256229 -0.330728
0.261 0.974502 0.257225 -0.334728
0.262 0.974165 0.258221 -0.338728
0.263 0.973825 0.259217 -0.342728
0.264 0.97348 0.260214 -0.346728
0.265 0.973131 0.26121 -0.350728
0.266 0.972779 0.262207 -0.354728
0.267 0.972422 0.263203 -0.358728
0.268 0.972061 0.2642 -0.362728
0.269 0.971696 0.265196 -0.366728
0.27 0.971328 0.266193 -0.370728
0.271 0.970955 0.26719 -0.374728
0.272 0.970578 0.268187 -0.378728
0.273 0.970197 0.269184 -0.382728
0.274 0.969813 0.270181 -0.386728
0.275 0.969424 0.271178 -0.390728
0.276 0.969031 0.272176 -0.394728
0.277 0.968635 0.273173 -0.398728
0.278 0.968234 0.27417 -0.402728
0.279 0.967829 0.275168 -0.406728
0.28 0.96742 0.276166 -0.410728
0.281 0.967008 0.277163 -0.414728
0.282 0.966591 0.278161 -0.418728
0.283 0.96617 0.279159 -0.422728
0.284 0.965745 0.280157 -0.426728
0.285 0.965317 0.281155 -0.430728
0.286 0.964884 0.282153 -0.434728
0.287 0.964447 0.283151 -0.438728
0.288 0.964007 0.284149 -0.442728
0.289 0.963562 0.285148 -0.446728
0.29 0.963113 0.286146 -0.450728
0.291 0.96266 0.287145 -0.454728
0.292 0.962204 0.288143 -0.458728
0.293 0.961743 0.289142 -0.462728
0.294 0.961278 0.29014 -0.466728
0.295 0.960809 0.291139 -0.470728
0.296 0.960337 0.292138 -0.474728
0.297 0.95986 0.293137 -0.478728
0.298 0.959379 0.294136 -0.482728
0.299 0.958895 0.295135 -0.486728
0.3 0.958406 0.296135 -0.490728
0.301 0.957913 0.297134 -0.494728
0.302 0.957416 0.298133 -0.498728
0.303 0.956916 0.299133 -0.502728
0.304 0.956411 0.300132 -0.506728
0.305 0.955902 0.301132 -0.510728
0.306 0.955389 0.302132 -0.514728
0.307 0.954873 0.303131 -0.518728
0.308 0.954352 0.304131 -0.522728
0.309 0.953827 0.305131 -0.526728
0.31 0.953299 0.306131 -0.530728
0.311 0.952766 0.307131 -0.534728
0.312 0.952229 0.308131 -0.538728
0.313 0.951688 0.309132 -0.542728
0.314 0.951144 0.310132 -0.546728
0.315 0.950597 0.311091 -0.545598
0.316 0.950053 0.312041 -0.543496
0.317 0.94951 0.312991 -0.541394
0.318 0.94897 0.31394 -0.539292
0.319 0.948431 0.314889 -0.53719
0.32 0.947895 0.315837 -0.535089
0.321 0.947361 0.316785 -0.532987
0.322 0.946829 0.317732 -0.530885
0.323 0.9463 0.318678 -0.528783
0.324 0.945772 0.319624 -0.526681
0.325 0.945246 0.320569 -0.52458
0.326 0.944723 0.321514 -0.522478
0.327 0.944201 0.322459 -0.520376
0.328 0.943682 0.323402 -0.518274
0.329 0.943165 0.324346 -0.516173
0.33 0.94265 0.325288 -0.514071
0.331 0.942137 0.32623 -0.511969
0.332 0.941626 0.327172 -0.509867
0.333 0.941117 0.328113 -0.507765
0.334 0.94061 0.329053 -0.505664
0.335 0.940105 0.329993 -0.503562
0.336 0.939603 0.330933 -0.50146
0.337 0.939103 0.331871 -0.499358
0.338 0.938604 0.33281 -0.497256
0.339 0.938108 0.333748 -0.495155
0.34 0.937614 0.334685 -0.493053
0.341 0.937122 0.335621 -0.490951
0.342 0.936632 0.336557 -0.488849
0.343 0.936144 0.337493 -0.486747
0.344 0.935659 0.338428 -0.484646
0.345 0.935175 0.339362 -0.482544
0.346 0.934693 0.340296 -0.480442
0.347 0.934214 0.34123 -0.47834
0.348 0.933737 0.342162 -0.476238
0.349 0.933262 0.343095 -0.474137
0.35 0.932789 0.344026 -0.472035
0.351 0.932318 0.344958 -0.469933
0.352 0.931849 0.345888 -0.467831
0.353 0.931382 0.346818 -0.465729
0.354 0.930917 0.347748 -0.463628
0.355 0.930455 0.348677 -0.461526
0.356 0.929994 0.349605 -0.459424
0.357 0.929536 0.350533 -0.457322
0.358 0.929079 0.35146 -0.45522
0.359 0.928625 0.352387 -0.453119
0.36 0.928173 0.353313 -0.451017
0.361 0.927723 0.354239 -0.448915
0.362 0.927275 0.355164 -0.446813
0.363 0.92683 0.356089 -0.444711
0.364 0.926386 0.357013 -0.44261
0.365 0.925944 0.357936 -0.440508
0.366 0.925505 0.358859 -0.438406
0.367 0.925068 0.359782 -0.436304
0.368 0.924632 0.360704 -0.434203
0.369 0.924199 0.361625 -0.432101
0.37 0.923768 0.362546 -0.429999
0.371 0.923339 0.363466 -0.427897
0.372 0.922912 0.364386 -0.425795
0.373 0.922488 0.365305 -0.423694
0.374 0.922065 0.366223 -0.421592
0.375 0.921644 0.367141 -0.41949
0.376 0.921226 0.368059 -0.417388
0.377 0.92081 0.368976 -0.415286
0.378 0.920395 0.369892 -0.413185
0.379 0.919983 0.370808 -0.411083
0.38 0.919573 0.371723 -0.408981
0.381 0.919165 0.372638 -0.406879
0.382 0.91876 0.373552 -0.404777
0.383 0.918356 0.374466 -0.402676
0.384 0.917954 0.375379 -0.400574
0.385 0.917555 0.376292 -0.398472
0.386 0.917157 0.377204 -0.39637
0.387 0.916762 0.378115 -0.394268
0.388 0.916369 0.379026 -0.392167
0.389 0.915978 0.379936 -0.390065
0.39 0.915589 0.380846 -0.387963
0.391 0.915202 0.381755 -0.385861
0.392 0.914817 0.382664 -0.383759
0.393 0.914434 0.383572 -0.381658
0.394 0.914054 0.38448 -0.379556
0.395 0.913675 0.385387 -0.377454
0.396 0.913299 0.386294 -0.375352
0.397 0.912924 0.387199 -0.37325
0.398 0.912552 0.388105 -0.371149
0.399 0.912182 0.38901 -0.369047
0.4 0.911814 0.389914 -0.366945
0.401 0.911448 0.390818 -0.364843
0.402 0.911084 0.391721 -0.362742
0.403 0.910723 0.392624 -0.36064
0.404 0.910363 0.393526 -0.358538
0.405 0.910006 0.394428 -0.356436
0.406 0.90965 0.395329 -0.354334
0.407 0.909297 0.396229 -0.352233
0.408 0.908946 0.397129 -0.350131
0.409 0.908597 0.398029 -0.348029
0.41 0.90825 0.398928 -0.345927
0.411 0.907905 0.399826 -0.343825
0.412 0.907562 0.400724 -0.341724
0.413 0.907221 0.401621 -0.339622
0.414 0.906883 0.402518 -0.33752
0.415 0.906546 0.403414 -0.335418
0.416 0.906212 0.404309 -0.333316
0.417 0.90588 0.405204 -0.331215
0.418 0.905549 0.406099 -0.329113
0.419 0.905221 0.406993 -0.327011
0.42 0.904895 0.407886 -0.324909
0.421 0.904572 0.408779 -0.322807
0.422 0.90425 0.409671 -0.320706
0.423 0.90393 0.410563 -0.318604
0.424 0.903613 0.411454 -0.316502
0.425 0.903297 0.412345 -0.3144
0.426 0.902984 0.413235 -0.312298
0.427 0.902673 0.414125 -0.310197
0.428 0.902363 0.415014 -0.308095
0.429 0.902056 0.415902 -0.305993
0.43 0.901751 0.41679 -0.303891
0.431 0.901449 0.417677 -0.301789
0.432 0.901148 0.418564 -0.299688
0.433 0.900849 0.41945 -0.297586
0.434 0.900553 0.420336 -0.295484
0.435 0.900258 0.421221 -0.293382
0.436 0.899966 0.422106 -0.29128
0.437 0.899676 0.42299 -0.289179
0.438 0.899388 0.423874 -0.287077
0.439 0.899102 0.424757 -0.284975
0.44 0.898818 0.425639 -0.282873
0.441 0.898536 0.426521 -0.280772
0.442 0.898256 0.427402 -0.27867
0.443 0.897978 0.428283 -0.276568
0.444 0.897703 0.429163 -0.274466
0.445 0.89743 0.430043 -0.272364
0.446 0.897158 0.430922 -0.270263
0.447 0.896889 0.431801 -0.268161
0.448 0.896622 0.432679 -0.266059
0.449 0.896357 0.433557 -0.263957
0.45 0.896094 0.434433 -0.261855
0.451 0.895833 0.43531 -0.259754
0.452 0.895574 0.436186 -0.257652
0.453 0.895318 0.437061 -0.25555
0.454 0.895063 0.437936 -0.253448
0.455 0.894811 0.43881 -0.251346
0.456 0.894561 0.439684 -0.249245
0.457 0.894312 0.440557 -0.247143
0.458 0.894066 0.44143 -0.245041
0.459 0.893822 0.442302 -0.242939
0.46 0.893581 0.443173 -0.240837
0.461 0.893341 0.444044 -0.238736
0.462 0.893103 0.444914 -0.236634
0.463 0.892867 0.445784 -0.234532
0.464 0.892634 0.446654 -0.23243
0.465 0.892403 0.447522 -0.230328
0.466 0.892173 0.448391 -0.228227
0.467 0.891946 0.449258 -0.226125
0.468 0.891721 0.450125 -0.224023
0.469 0.891498 0.450992 -0.221921
0.47 0.891277 0.451858 -0.219819
0.471 0.891058 0.452724 -0.217718
0.472 0.89084 0.453608 -0.220169
0.473 0.890618 0.454499 -0.224049
0.474 0.890392 0.45539 -0.227929
0.475 0.890162 0.45628 -0.231809
0.476 0.889928 0.45717 -0.235689
0.477 0.889691 0.45806 -0.239569
0.478 0.889449 0.458949 -0.24345
0.479 0.889204 0.459839 -0.24733
0.48 0.888955 0.460728 -0.25121
0.481 0.888701 0.461617 -0.25509
0.482 0.888444 0.462506 -0.25897
0.483 0.888183 0.463394 -0.26285
0.484 0.887919 0.464283 -0.26673
0.485 0.88765 0.465171 -0.270611
0.486 0.887377 0.466059 -0.274491
0.487 0.887101 0.466946 -0.278371
0.488 0.886821 0.467834 -0.282251
0.489 0.886537 0.468721 -0.286131
0.49 0.886248 0.469608 -0.290011
0.491 0.885957 0.470495 -0.293892
0.492 0.885661 0.471382 -0.297772
0.493 0.885361 0.472268 -0.301652
0.494 0.885057 0.473154 -0.305532
0.495 0.88475 0.47404 -0.309412
0.496 0.884439 0.474926 -0.313292
0.497 0.884123 0.475811 -0.317172
0.498 0.883804 0.476697 -0.321053
0.499 0.883481 0.477582 -0.324933
0.5 0.883154 0.478467 -0.328813
0.501 0.882824 0.479351 -0.332693
0.502 0.882489 0.480236 -0.336573
0.503 0.88215 0.48112 -0.340453
0.504 0.881808 0.482004 -0.344333
0.505 0.881462 0.482888 -0.348214
0.506 0.881112 0.483771 -0.352094
0.507 0.880758 0.484655 -0.355974
0.508 0.8804 0.485538 -0.359854
0.509 0.880038 0.486421 -0.363734
0.51 0.879672 0.487303 -0.367614
0.511 0.879303 0.488186 -0.371494
0.512 0.878929 0.489068 -0.375375
0.513 0.878552 0.48995 -0.379255
0.514 0.878171 0.490832 -0.383135
0.515 0.877786 0.491714 -0.387015
0.516 0.877397 0.492595 -0.390895
0.517 0.877004 0.493476 -0.394775
0.518 0.876607 0.494357 -0.398655
0.519 0.876207 0.495238 -0.402536
0.52 0.875802 0.496118 -0.406416
0.521 0.875394 0.496999 -0.410296
0.522 0.874981 0.497879 -0.414176
0.523 0.874565 0.498759 -0.418056
0.524 0.874145 0.499638 -0.421936
0.525 0.873721 0.500518 -0.425817
0.526 0.873294 0.501397 -0.429697
0.527 0.872862 0.502276 -0.433577
0.528 0.872427 0.503155 -0.437457
0.529 0.871987 0.504033 -0.441337
0.53 0.871544 0.504912 -0.445217
0.531 0.871097 0.50579 -0.449097
0.532 0.870646 0.506668 -0.452978
0.533 0.870191 0.507545 -0.456858
0.534 0.869732 0.508423 -0.460738
0.535 0.869269 0.5093 -0.464618
0.536 0.868803 0.510177 -0.468498
0.537 0.868332 0.511054 -0.472378
0.538 0.867858 0.511931 -0.476258
0.539 0.86738 0.512807 -0.480139
0.54 0.866898 0.513683 -0.484019
0.541 0.866412 0.514559 -0.487899
0.542 0.865922 0.515435 -0.491779
0.543 0.865428 0.516311 -0.495659
0.544 0.864931 0.517186 -0.499539
0.545 0.864429 0.518061 -0.503419
0.546 0.863924 0.518936 -0.5073
0.547 0.863415 0.51981 -0.51118
0.548 0.862901 0.520685 -0.51506
0.549 0.862384 0.521559 -0.51894
0.55 0.861864 0.522433 -0.52282
0.551 0.861339 0.523307 -0.5267
0.552 0.86081 0.524181 -0.53058
0.553 0.860278 0.525054 -0.534461
0.554 0.859741 0.525927 -0.538341
0.555 0.859201 0.5268 -0.542221
0.556 0.858657 0.527673 -0.546101
0.557 0.858109 0.528545 -0.549981
0.558 0.857557 0.529417 -0.553861
0.559 0.857001 0.530289 -0.557741
0.56 0.856441 0.531161 -0.561622
0.561 0.855878 0.532033 -0.565502
0.562 0.85531 0.532904 -0.569382
0.563 0.854739 0.533775 -0.573262
0.564 0.854164 0.534646 -0.577142
0.565 0.853585 0.535517 -0.581022
0.566 0.853002 0.536388 -0.584903
0.567 0.852415 0.537258 -0.588783
0.568 0.851824 0.538128 -0.592663
0.569 0.85123 0.538998 -0.596543
0.57 0.850631 0.539868 -0.600423
0.571 0.850029 0.540737 -0.604303
0.572 0.849422 0.541606 -0.608183
0.573 0.848812 0.542475 -0.612064
0.574 0.848198 0.543344 -0.615944
0.575 0.84758 0.544213 -0.619824
0.576 0.846959 0.545081 -0.623704
0.577 0.846333 0.545949 -0.627584
0.578 0.845704 0.546817 -0.631464
0.579 0.84507 0.547685 -0.635344
0.58 0.844433 0.548552 -0.639225
0.581 0.843792 0.54942 -0.643105
0.582 0.843147 0.550287 -0.646985
0.583 0.842498 0.551154 -0.650865
0.584 0.841845 0.55202 -0.654745
0.585 0.841188 0.552887 -0.658625
0.586 0.840528 0.553753 -0.662505
0.587 0.839863 0.554619 -0.666386
0.588 0.839195 0.555484 -0.670266
0.589 0.838523 0.55635 -0.674146
0.59 0.837847 0.557215 -0.678026
0.591 0.837167 0.55808 -0.681906
0.592 0.836483 0.558945 -0.685786
0.593 0.835795 0.55981 -0.689666
0.594 0.835103 0.560674 -0.693547
0.595 0.834408 0.561539 -0.697427
0.596 0.833709 0.562403 -0.701307
0.597 0.833005 0.563266 -0.705187
0.598 0.832298 0.56413 -0.709067
0.599 0.831587 0.564993 -0.712947
0.6 0.830872 0.565857 -0.716828
0.601 0.830154 0.566719 -0.720708
0.602 0.829431 0.567582 -0.724588
0.603 0.828704 0.568445 -0.728468
0.604 0.827974 0.569307 -0.732348
0.605 0.82724 0.570169 -0.736228
0.606 0.826502 0.571031 -0.740108
0.607 0.825759 0.571892 -0.743989
0.608 0.825014 0.572754 -0.747869
0.609 0.824264 0.573615 -0.751749
0.61 0.82351 0.574476 -0.755629
0.611 0.822752 0.575337 -0.759509
0.612 0.821991 0.576197 -0.763389
0.613 0.821226 0.577058 -0.767269
0.614 0.820456 0.577918 -0.77115
0.615 0.819683 0.578778 -0.77503
0.616 0.818906 0.579637 -0.77891
0.617 0.818126 0.580497 -0.78279
0.618 0.817341 0.581356 -0.78667
0.619 0.816552 0.582215 -0.79055
0.62 0.81576 0.583074 -0.79443
0.621 0.814963 0.583932 -0.798311
0.622 0.814163 0.584791 -0.802191
0.623 0.813359 0.585649 -0.806071
0.624 0.812551 0.586507 -0.809951
0.625 0.811739 0.587365 -0.813831
0.626 0.810923 0.588222 -0.817711
0.627 0.810104 0.589079 -0.821591
0.628 0.80928 0.589936 -0.825472
0.629 0.808454 0.590761 -0.825164
0.63 0.80763 0.591569 -0.822898
0.631 0.806808 0.592376 -0.820633
0.632 0.805989 0.593182 -0.818367
0.633 0.805172 0.593988 -0.816102
0.634 0.804357 0.594792 -0.813837
0.635 0.803544 0.595596 -0.811571
0.636 0.802734 0.596399 -0.809306
0.637 0.801925 0.597202 -0.80704
0.638 0.801119 0.598003 -0.804775
0.639 0.800316 0.598804 -0.802509
0.64 0.799514 0.599604 -0.800244
0.641 0.798715 0.600402 -0.797979
0.642 0.797918 0.601201 -0.795713
0.643 0.797124 0.601998 -0.793448
0.644 0.796332 0.602794 -0.791182
0.645 0.795542 0.60359 -0.788917
0.646 0.794754 0.604385 -0.786651
0.647 0.793968 0.605179 -0.784386
0.648 0.793185 0.605972 -0.78212
0.649 0.792404 0.606764 -0.779855
0.65 0.791625 0.607556 -0.77759
0.651 0.790849 0.608346 -0.775324
0.652 0.790075 0.609136 -0.773059
0.653 0.789303 0.609925 -0.770793
0.654 0.788533 0.610714 -0.768528
0.655 0.787766 0.611501 -0.766262
0.656 0.787 0.612287 -0.763997
0.657 0.786238 0.613073 -0.761732
0.658 0.785477 0.613858 -0.759466
0.659 0.784719 0.614642 -0.757201
0.66 0.783963 0.615425 -0.754935
0.661 0.783209 0.616208 -0.75267
0.662 0.782457 0.616989 -0.750404
0.663 0.781708 0.61777 -0.748139
0.664 0.780961 0.61855 -0.745873
0.665 0.780216 0.619329 -0.743608
0.666 0.779474 0.620107 -0.741343
0.667 0.778734 0.620885 -0.739077
0.668 0.777996 0.621662 -0.736812
0.669 0.77726 0.622437 -0.734546
0.67 0.776527 0.623212 -0.732281
0.671 0.775795 0.623986 -0.730015
0.672 0.775067 0.62476 -0.72775
0.673 0.77434 0.625532 -0.725485
0.674 0.773616 0.626304 -0.723219
0.675 0.772893 0.627075 -0.720954
0.676 0.772174 0.627845 -0.718688
0.677 0.771456 0.628614 -0.716423
0.678 0.770741 0.629382 -0.714157
0.679 0.770028 0.63015 -0.711892
0.68 0.769317 0.630917 -0.709626
0.681 0.768609 0.631682 -0.707361
0.682 0.767902 0.632447 -0.705096
0.683 0.767198 0.633212 -0.70283
0.684 0.766497 0.633975 -0.700565
0.685 0.765797 0.634738 -0.698299
0.686 0.7651 0.635499 -0.696034
0.687 0.764405 0.63626 -0.693768
0.688 0.763712 0.63702 -0.691503
0.689 0.763022 0.63778 -0.689238
