# interpolation 
# x linterp qspline cspline
0.167 0.765738 0.758709 0.807041
0.168 0.765293 0.75823 0.806668
0.169 0.764847 0.757751 0.806293
0.17 0.764401 0.757272 0.805917
0.171 0.763955 0.756792 0.805539
0.172 0.763509 0.756313 0.805159
0.173 0.763063 0.755835 0.804777
0.174 0.762618 0.755356 0.804393
0.175 0.762172 0.754877 0.804008
0.176 0.761726 0.754398 0.803621
0.177 0.76128 0.75392 0.803232
0.178 0.760834 0.753442 0.802842
0.179 0.760389 0.752963 0.802449
0.18 0.759943 0.752485 0.802055
0.181 0.759497 0.752007 0.80166
0.182 0.759051 0.751529 0.801262
0.183 0.758605 0.751051 0.800863
0.184 0.75816 0.750573 0.800463
0.185 0.757714 0.750096 0.80006
0.186 0.757268 0.749618 0.799656
0.187 0.756822 0.749141 0.79925
0.188 0.756376 0.748663 0.798843
0.189 0.755931 0.748186 0.798433
0.19 0.755485 0.747709 0.798023
0.191 0.755039 0.747232 0.79761
0.192 0.754593 0.746755 0.797196
0.193 0.754147 0.746278 0.79678
0.194 0.753702 0.745801 0.796363
0.195 0.753256 0.745324 0.795944
0.196 0.75281 0.744848 0.795523
0.197 0.752364 0.744371 0.795101
0.198 0.751918 0.743895 0.794677
0.199 0.751473 0.743419 0.794251
0.2 0.751027 0.742942 0.793824
0.201 0.750581 0.742466 0.793395
0.202 0.750135 0.74199 0.792965
0.203 0.749689 0.741515 0.792533
0.204 0.749244 0.741039 0.792099
0.205 0.748798 0.740563 0.791664
0.206 0.748352 0.740088 0.791227
0.207 0.747906 0.739612 0.790789
0.208 0.74746 0.739137 0.790349
0.209 0.747015 0.738661 0.789908
0.21 0.746569 0.738186 0.789465
0.211 0.746123 0.737711 0.78902
0.212 0.745677 0.737236 0.788574
0.213 0.745231 0.736761 0.788127
0.214 0.744785 0.736287 0.787678
0.215 0.74434 0.735812 0.787227
0.216 0.743894 0.735337 0.786775
0.217 0.743448 0.734863 0.786321
0.218 0.743002 0.734389 0.785866
0.219 0.742556 0.733914 0.785409
0.22 0.742111 0.73344 0.784951
0.221 0.741665 0.732966 0.784491
0.222 0.741219 0.732492 0.78403
0.223 0.740773 0.732018 0.783567
0.224 0.740327 0.731545 0.783103
0.225 0.739882 0.731071 0.782637
0.226 0.739436 0.730598 0.78217
0.227 0.73899 0.730124 0.781701
0.228 0.738544 0.729651 0.781231
0.229 0.738098 0.729177 0.78076
0.23 0.737653 0.728704 0.780287
0.231 0.737207 0.728231 0.779812
0.232 0.736761 0.727758 0.779336
0.233 0.736315 0.727286 0.778859
0.234 0.735869 0.726813 0.77838
0.235 0.735424 0.72634 0.7779
0.236 0.734978 0.725868 0.777419
0.237 0.734532 0.725395 0.776936
0.238 0.734086 0.724923 0.776451
0.239 0.73364 0.724451 0.775965
0.24 0.733195 0.723978 0.775478
0.241 0.732749 0.723506 0.77499
0.242 0.732303 0.723035 0.7745
0.243 0.731857 0.722563 0.774008
0.244 0.731411 0.722091 0.773516
0.245 0.730966 0.721619 0.773022
0.246 0.73052 0.721148 0.772526
0.247 0.730074 0.720676 0.772029
0.248 0.729628 0.720205 0.771531
0.249 0.729182 0.719734 0.771032
0.25 0.728737 0.719263 0.770531
0.251 0.728291 0.718792 0.770029
0.252 0.727845 0.718321 0.769525
0.253 0.727399 0.71785 0.76902
0.254 0.726953 0.717379 0.768514
0.255 0.726507 0.716909 0.768006
0.256 0.726062 0.716438 0.767498
0.257 0.725616 0.715968 0.766988
0.258 0.72517 0.715497 0.766476
0.259 0.724724 0.715027 0.765963
0.26 0.724278 0.714557 0.765449
0.261 0.723833 0.714087 0.764934
0.262 0.723387 0.713617 0.764418
0.263 0.722941 0.713147 0.7639
0.264 0.722495 0.712678 0.763381
0.265 0.722049 0.712208 0.76286
0.266 0.721604 0.711739 0.762339
0.267 0.721158 0.711269 0.761816
0.268 0.720712 0.7108 0.761292
0.269 0.720266 0.710331 0.760766
0.27 0.71982 0.709862 0.76024
0.271 0.719375 0.709393 0.759712
0.272 0.718929 0.708924 0.759183
0.273 0.718483 0.708455 0.758653
0.274 0.718037 0.707986 0.758121
0.275 0.717591 0.707518 0.757588
0.276 0.717146 0.707049 0.757055
0.277 0.7167 0.706581 0.756519
0.278 0.716254 0.706112 0.755983
0.279 0.715808 0.705644 0.755446
0.28 0.715362 0.705176 0.754907
0.281 0.714917 0.704708 0.754367
0.282 0.714471 0.70424 0.753826
