# interpolation 
# x linterp integ
0.206 0.97628 0.204152 
0.207 0.976047 0.205128 
0.208 0.975813 0.206104 
0.209 0.97558 0.207079 
0.21 0.975347 0.208055 
0.211 0.975114 0.20903 
0.212 0.974881 0.210005 
0.213 0.974647 0.21098 
0.214 0.974414 0.211954 
0.215 0.974181 0.212929 
0.216 0.973948 0.213903 
0.217 0.973715 0.214877 
0.218 0.973481 0.21585 
0.219 0.973248 0.216824 
0.22 0.973015 0.217797 
0.221 0.972782 0.21877 
0.222 0.972549 0.219742 
0.223 0.972315 0.220715 
0.224 0.972082 0.221687 
0.225 0.971849 0.222659 
0.226 0.971616 0.223631 
0.227 0.971383 0.224602 
0.228 0.971149 0.225573 
0.229 0.970916 0.226544 
0.23 0.970683 0.227515 
0.231 0.97045 0.228486 
0.232 0.970217 0.229456 
0.233 0.969983 0.230426 
0.234 0.96975 0.231396 
0.235 0.969517 0.232366 
0.236 0.969284 0.233335 
0.237 0.96905 0.234304 
0.238 0.968817 0.235273 
0.239 0.968584 0.236242 
0.24 0.968351 0.23721 
0.241 0.968118 0.238179 
0.242 0.967884 0.239147 
0.243 0.967651 0.240114 
0.244 0.967418 0.241082 
0.245 0.967185 0.242049 
0.246 0.966952 0.243016 
0.247 0.966718 0.243983 
0.248 0.966485 0.24495 
0.249 0.966252 0.245916 
0.25 0.966019 0.246882 
0.251 0.965786 0.247848 
0.252 0.965552 0.248814 
0.253 0.965319 0.249779 
0.254 0.965086 0.250744 
0.255 0.964853 0.251709 
0.256 0.96462 0.252674 
0.257 0.964386 0.253639 
0.258 0.964153 0.254603 
0.259 0.96392 0.255567 
0.26 0.963687 0.256531 
0.261 0.963454 0.257494 
0.262 0.96322 0.258458 
0.263 0.962987 0.259421 
0.264 0.962754 0.260384 
0.265 0.962521 0.261346 
0.266 0.962288 0.262309 
0.267 0.962054 0.263271 
0.268 0.961821 0.264233 
0.269 0.961588 0.265195 
0.27 0.961355 0.266156 
0.271 0.961121 0.267117 
0.272 0.960888 0.268078 
0.273 0.960655 0.269039 
0.274 0.960422 0.27 
0.275 0.960189 0.27096 
0.276 0.959955 0.27192 
0.277 0.959722 0.27288 
0.278 0.959489 0.273839 
0.279 0.959256 0.274799 
0.28 0.959023 0.275758 
0.281 0.958789 0.276717 
0.282 0.958556 0.277675 
0.283 0.958323 0.278634 
